source	target	weight
476922	476923	1.000
461706	461705	1.000
605930	605932	1.000
987412	987413	1.000
86252	86253	1.000
184900	184870	1.000
670703	670702	1.000
740169	740170	1.000
740168	740170	1.000
740168	740169	1.000
740167	740170	1.000
740167	740169	1.000
740167	740168	1.000
740166	740170	1.000
740166	740169	1.000
740166	740168	1.000
740166	740167	1.000
740165	740166	1.000
740165	740170	1.000
740165	740169	1.000
740165	740168	1.000
740165	740167	1.000
740164	740166	1.000
740164	740165	1.000
740164	740170	1.000
740164	740169	1.000
740164	740168	1.000
740164	740167	1.000
740163	740166	1.000
740163	740165	1.000
740163	740164	1.000
740163	740170	1.000
740163	740169	1.000
740163	740168	1.000
740163	740167	1.000
740162	740166	1.000
740162	740165	1.000
740162	740164	1.000
740162	740163	1.000
740162	740170	1.000
740162	740169	1.000
740162	740168	1.000
740162	740167	1.000
740161	740166	1.000
740161	740165	1.000
740161	740164	1.000
740161	740163	1.000
740161	740162	1.000
740161	740170	1.000
740161	740169	1.000
740161	740168	1.000
740161	740167	1.000
740160	740166	1.000
740160	740165	1.000
740160	740164	1.000
740160	740163	1.000
740160	740162	1.000
740160	740161	1.000
740160	740170	1.000
740160	740169	1.000
740160	740168	1.000
740160	740167	1.000
899289	899288	1.000
899290	899289	1.000
899290	899288	1.000
899291	899289	1.000
899291	899290	1.000
899291	899288	1.000
899292	899289	1.000
899292	899290	1.000
899292	899291	1.000
899292	899288	1.000
899293	899289	1.000
899293	899290	1.000
899293	899291	1.000
899293	899292	1.000
899293	899288	1.000
899294	899289	1.000
899294	899290	1.000
899294	899291	1.000
899294	899292	1.000
899294	899293	1.000
899294	899288	1.000
899295	899289	1.000
899295	899290	1.000
899295	899291	1.000
899295	899292	1.000
899295	899293	1.000
899295	899294	1.000
899295	899288	1.000
892745	892741	1.000
897032	897031	1.000
892744	892741	1.000
892744	892745	1.000
892740	892744	1.000
892740	892741	1.000
892740	892745	1.000
892743	892744	1.000
892743	892741	1.000
892743	892740	1.000
892743	892745	1.000
890736	890735	1.000
908931	908930	1.000
892742	892744	1.000
892742	892741	1.000
892742	892740	1.000
892742	892745	1.000
892742	892743	1.000
899286	899289	1.000
899286	899295	1.000
899286	899290	1.000
899286	899291	1.000
899286	899292	1.000
899286	899293	1.000
899286	899294	1.000
899286	899288	1.000
899287	899289	1.000
899287	899295	1.000
899287	899290	1.000
899287	899291	1.000
899287	899292	1.000
899287	899286	1.000
899287	899293	1.000
899287	899294	1.000
899287	899288	1.000
666716	666717	1.000
835353	835354	1.000
835352	835354	1.000
835352	835353	1.000
835351	835354	1.000
835351	835353	1.000
835351	835352	1.000
835350	835354	1.000
835350	835353	1.000
835350	835352	1.000
835350	835351	1.000
835349	835354	1.000
835349	835353	1.000
835349	835352	1.000
835349	835351	1.000
835349	835350	1.000
835348	835349	1.000
835348	835354	1.000
835348	835353	1.000
835348	835352	1.000
835348	835351	1.000
835348	835350	1.000
835347	835349	1.000
835347	835348	1.000
835347	835354	1.000
835347	835353	1.000
835347	835352	1.000
835347	835351	1.000
835347	835350	1.000
835346	835349	1.000
835346	835348	1.000
835346	835347	1.000
835346	835354	1.000
835346	835353	1.000
835346	835352	1.000
835346	835351	1.000
835346	835350	1.000
802006	802005	1.000
663390	663389	1.000
663391	663389	1.000
663391	663390	1.000
663392	663389	1.000
663392	663390	1.000
663392	663391	1.000
663393	663389	1.000
663393	663390	1.000
663393	663391	1.000
663393	663392	1.000
694968	694967	1.000
695841	695840	1.000
695842	695840	1.000
695842	695841	1.000
677321	677322	1.000
701535	701534	1.000
701536	701534	1.000
701536	701535	1.000
703320	703319	1.000
706627	706626	1.000
706628	706626	1.000
706628	706627	1.000
706629	706626	1.000
706629	706627	1.000
706629	706628	1.000
706630	706626	1.000
706630	706627	1.000
706630	706628	1.000
706630	706629	1.000
706631	706626	1.000
706631	706627	1.000
706631	706628	1.000
706631	706629	1.000
706631	706630	1.000
706632	706626	1.000
706632	706627	1.000
706632	706628	1.000
706632	706629	1.000
706632	706630	1.000
706632	706631	1.000
614689	614688	1.000
714273	714272	1.000
716719	716718	1.000
716917	716916	1.000
640053	640054	1.000
808445	808446	1.000
808444	808446	1.000
808444	808445	1.000
808443	808444	1.000
808443	808446	1.000
808443	808445	1.000
755623	755622	1.000
850024	850025	1.000
850023	850025	1.000
850023	850024	1.000
860066	860067	1.000
860065	860067	1.000
860065	860066	1.000
860064	860067	1.000
860064	860066	1.000
860064	860065	1.000
860063	860067	1.000
860063	860066	1.000
